pred_horizon,mesh_size,theta_0,alpha_0,theta_dot_0,alpha_dot_0,iteration,theta,alpha,theta_dot,alpha_dot,cost,time
15.0,3.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.343,3.655,-5.312,-3.616,3020.407,10.775455855000473
15.0,3.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.35,3.66,-5.172,-3.67,3019.833,11.374551352000708
15.0,3.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.355,3.674,-5.321,-3.601,3019.549,11.97161553099977
15.0,3.0,0.0,3.141592653589793,0.0,0.0,21.0,-2.354,3.68,-5.257,-3.642,3018.658,12.568829585999993
15.0,3.0,0.0,3.141592653589793,0.0,0.0,22.0,-2.354,3.668,-5.176,-3.748,3019.317,13.166201357000318
15.0,3.0,0.0,3.141592653589793,0.0,0.0,23.0,-2.42,3.721,-5.438,-3.586,3119.146,13.76548683800138
15.0,3.0,0.0,3.141592653589793,0.0,0.0,24.0,-2.351,3.679,-5.255,-3.586,3019.357,14.36413150000044
15.0,3.0,0.0,3.141592653589793,0.0,0.0,25.0,-2.349,3.676,-5.407,-3.454,3019.325,14.963894051001262
15.0,3.0,0.0,3.141592653589793,0.0,0.0,26.0,-2.356,3.679,-5.606,-3.315,3019.336,15.561176258001069
15.0,3.0,0.0,3.141592653589793,0.0,0.0,27.0,-2.355,3.684,-5.649,-3.225,3019.048,16.158247675000894
15.0,3.0,0.0,3.141592653589793,0.0,0.0,28.0,-2.354,3.674,-5.599,-3.312,3018.437,16.754956313001458
15.0,3.0,0.0,3.141592653589793,0.0,0.0,29.0,-2.353,3.673,-5.567,-3.318,3018.736,17.35307384600128
15.0,3.0,0.0,3.141592653589793,0.0,0.0,30.0,-2.341,3.667,-5.6,-3.267,3018.329,17.950347007001255
15.0,3.0,0.0,3.141592653589793,0.0,0.0,1.0,-1.779,3.445,-5.272,-2.288,3064.841,0.6019389190005313
15.0,3.0,0.0,3.141592653589793,0.0,0.0,2.0,-2.211,3.586,-4.902,-3.489,3043.43,1.2006867159998365
15.0,3.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.355,3.583,-5.195,-3.937,3038.92,1.7991872319998947
15.0,3.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.23,3.528,-3.152,-5.005,3038.14,2.3975689330000023
15.0,3.0,0.0,3.141592653589793,0.0,0.0,5.0,-2.206,3.475,-4.486,-4.207,3039.575,2.9954096319997916
15.0,3.0,0.0,3.141592653589793,0.0,0.0,6.0,-2.231,3.578,-5.697,-3.005,3033.064,3.593196051000632
15.0,3.0,0.0,3.141592653589793,0.0,0.0,7.0,-2.334,3.72,-6.505,-2.222,3026.459,4.192081962000884
15.0,3.0,0.0,3.141592653589793,0.0,0.0,8.0,-2.314,3.744,-6.154,-2.437,3023.176,4.789921454999785
15.0,3.0,0.0,3.141592653589793,0.0,0.0,9.0,-2.328,3.764,-6.278,-2.368,3026.882,5.387701842999377
15.0,3.0,0.0,3.141592653589793,0.0,0.0,10.0,-2.352,3.713,-5.626,-3.224,3028.995,5.98739654199926
15.0,3.0,0.0,3.141592653589793,0.0,0.0,11.0,-2.268,3.71,-5.325,-3.105,3033.183,6.5855312639996555
15.0,3.0,0.0,3.141592653589793,0.0,0.0,12.0,-2.22,3.683,-5.403,-3.1,3035.344,7.18309060700085
15.0,3.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.309,3.702,-5.501,-3.259,3030.111,7.7831981430008454
15.0,3.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.272,3.666,-5.555,-3.123,3024.097,8.381340103000184
15.0,3.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.257,3.635,-5.571,-3.074,3021.336,8.978058692000559
15.0,3.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.337,3.664,-5.371,-3.333,3018.48,9.584954377000031
15.0,3.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.332,3.687,-5.922,-2.91,3021.519,10.186363453000013
15.0,3.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.352,3.683,-5.986,-2.869,3019.402,10.79566137599977
15.0,3.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.351,3.685,-5.948,-2.919,3016.962,11.394091325999398
15.0,3.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.345,3.677,-5.834,-3.034,3017.037,11.997825440999804
15.0,3.0,0.0,3.141592653589793,0.0,0.0,21.0,-2.345,3.659,-5.745,-3.178,3016.487,12.595395940999879
15.0,3.0,0.0,3.141592653589793,0.0,0.0,22.0,-2.352,3.663,-5.585,-3.335,3016.324,13.193157330000759
15.0,3.0,0.0,3.141592653589793,0.0,0.0,23.0,-2.348,3.67,-5.619,-3.3,3016.434,13.792066160000104
15.0,3.0,0.0,3.141592653589793,0.0,0.0,24.0,-2.351,3.689,-5.712,-3.179,3017.216,14.389999741000793
15.0,3.0,0.0,3.141592653589793,0.0,0.0,25.0,-2.348,3.685,-5.481,-3.389,3017.092,14.988342841999838
15.0,3.0,0.0,3.141592653589793,0.0,0.0,26.0,-2.353,3.691,-5.554,-3.331,3016.872,15.588960619999852
15.0,3.0,0.0,3.141592653589793,0.0,0.0,27.0,-2.352,3.686,-5.666,-3.266,3016.577,16.186766639999405
15.0,3.0,0.0,3.141592653589793,0.0,0.0,28.0,-2.354,3.695,-5.747,-3.138,3016.236,16.785538260000976
15.0,3.0,0.0,3.141592653589793,0.0,0.0,29.0,-2.352,3.692,-5.711,-3.135,3016.287,17.383164549999492
15.0,3.0,0.0,3.141592653589793,0.0,0.0,30.0,-2.352,3.691,-5.708,-3.128,3015.951,17.9804395200008
15.0,5.0,0.0,3.141592653589793,0.0,0.0,1.0,-1.61,3.327,-3.544,-3.005,3085.056,1.724889130999145
15.0,5.0,0.0,3.141592653589793,0.0,0.0,2.0,-1.775,3.526,-5.896,-1.346,3101.994,3.4470880329990905
15.0,5.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.071,3.519,-7.157,-1.58,3054.769,5.169286933998592
15.0,5.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.299,3.667,-5.743,-2.92,3023.42,6.890478921999602
15.0,5.0,0.0,3.141592653589793,0.0,0.0,5.0,-2.288,3.655,-5.658,-3.169,3022.279,8.609162823999213
15.0,5.0,0.0,3.141592653589793,0.0,0.0,6.0,-2.317,3.667,-4.287,-4.298,3027.053,10.330148844999712
15.0,5.0,0.0,3.141592653589793,0.0,0.0,7.0,-2.355,3.609,-4.728,-4.166,3026.616,12.048785703000249
15.0,5.0,0.0,3.141592653589793,0.0,0.0,8.0,-2.324,3.643,-5.168,-3.601,3023.332,13.768275677999554
15.0,5.0,0.0,3.141592653589793,0.0,0.0,9.0,-2.353,3.672,-4.533,-4.07,3022.994,15.48868451099952
15.0,5.0,0.0,3.141592653589793,0.0,0.0,10.0,-2.347,3.642,-4.956,-4.053,3024.597,17.208243844999743
15.0,5.0,0.0,3.141592653589793,0.0,0.0,11.0,-2.346,3.672,-5.119,-3.659,3019.216,18.927717837999808
15.0,5.0,0.0,3.141592653589793,0.0,0.0,12.0,-2.35,3.674,-5.878,-3.07,3019.675,20.64560169699871
15.0,5.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.327,3.684,-5.519,-3.143,3018.404,22.364791014999355
15.0,5.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.348,3.667,-5.564,-3.158,3018.388,24.086185651998676
15.0,5.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.352,3.709,-5.71,-3.064,3017.023,25.826880521999556
15.0,5.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.34,3.694,-5.95,-2.903,3017.234,27.54725557999882
15.0,5.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.347,3.679,-5.726,-3.13,3016.662,29.26651395599947
15.0,5.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.346,3.704,-6.004,-2.823,3017.061,30.98723460399924
15.0,5.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.356,3.676,-5.485,-3.358,3016.479,32.706465838999065
15.0,5.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.354,3.67,-5.056,-3.653,3016.507,34.42416815799879
15.0,5.0,0.0,3.141592653589793,0.0,0.0,21.0,-2.354,3.671,-5.601,-3.272,3016.688,36.14505767999981
15.0,5.0,0.0,3.141592653589793,0.0,0.0,22.0,-2.353,3.664,-5.616,-3.23,3016.833,37.865103733998694
15.0,5.0,0.0,3.141592653589793,0.0,0.0,23.0,-2.355,3.677,-5.603,-3.249,3015.698,39.5859929549988
15.0,5.0,0.0,3.141592653589793,0.0,0.0,24.0,-2.356,3.687,-5.651,-3.185,3015.609,41.30481497099936
15.0,5.0,0.0,3.141592653589793,0.0,0.0,25.0,-2.354,3.696,-5.895,-2.997,3016.191,43.023437052999725
15.0,5.0,0.0,3.141592653589793,0.0,0.0,26.0,-2.354,3.701,-5.867,-2.962,3016.819,44.742973166999946
15.0,5.0,0.0,3.141592653589793,0.0,0.0,27.0,-2.356,3.696,-5.894,-2.971,3016.154,46.46289829499983
15.0,5.0,0.0,3.141592653589793,0.0,0.0,28.0,-2.356,3.701,-5.883,-2.971,3016.198,48.181445890999385
15.0,5.0,0.0,3.141592653589793,0.0,0.0,29.0,-2.356,3.697,-5.754,-3.067,3016.079,49.90082850999897
15.0,5.0,0.0,3.141592653589793,0.0,0.0,30.0,-2.354,3.698,-5.869,-2.974,3016.123,51.62188147799861
15.0,5.0,0.0,3.141592653589793,0.0,0.0,1.0,-2.341,3.77,-7.715,-0.966,3070.16,1.7276993810010026
15.0,5.0,0.0,3.141592653589793,0.0,0.0,2.0,-2.194,3.675,-5.06,-2.764,3047.533,3.4458983720014658
15.0,5.0,0.0,3.141592653589793,0.0,0.0,3.0,-2.35,3.702,-2.898,-4.909,3035.124,5.166020722001122
15.0,5.0,0.0,3.141592653589793,0.0,0.0,4.0,-2.067,3.506,-3.955,-4.052,3054.339,6.890481635000469
15.0,5.0,0.0,3.141592653589793,0.0,0.0,5.0,-2.206,3.586,-5.477,-3.172,3030.946,8.609608531000049
15.0,5.0,0.0,3.141592653589793,0.0,0.0,6.0,-2.26,3.627,-5.218,-3.32,3021.328,10.329539690001184
15.0,5.0,0.0,3.141592653589793,0.0,0.0,7.0,-2.321,3.629,-4.829,-3.855,3019.468,12.053535596000074
15.0,5.0,0.0,3.141592653589793,0.0,0.0,8.0,-2.287,3.636,-5.215,-3.512,3021.074,13.772035244001017
15.0,5.0,0.0,3.141592653589793,0.0,0.0,9.0,-2.332,3.624,-5.528,-3.357,3023.945,15.49257706500066
15.0,5.0,0.0,3.141592653589793,0.0,0.0,10.0,-2.341,3.608,-5.26,-3.519,3023.171,17.214039252001385
15.0,5.0,0.0,3.141592653589793,0.0,0.0,11.0,-2.32,3.635,-4.347,-4.061,3021.544,18.93308351900123
15.0,5.0,0.0,3.141592653589793,0.0,0.0,12.0,-2.344,3.633,-5.23,-3.569,3018.139,20.653125352000643
15.0,5.0,0.0,3.141592653589793,0.0,0.0,13.0,-2.337,3.662,-5.263,-3.384,3018.955,22.37208337300035
15.0,5.0,0.0,3.141592653589793,0.0,0.0,14.0,-2.336,3.636,-5.739,-3.168,3019.654,24.089063151001028
15.0,5.0,0.0,3.141592653589793,0.0,0.0,15.0,-2.345,3.634,-6.004,-3.006,3019.792,25.807245857000453
15.0,5.0,0.0,3.141592653589793,0.0,0.0,16.0,-2.303,3.605,-5.322,-3.443,3018.989,27.52591407700129
15.0,5.0,0.0,3.141592653589793,0.0,0.0,17.0,-2.353,3.639,-5.287,-3.503,3017.422,29.246493896000175
15.0,5.0,0.0,3.141592653589793,0.0,0.0,18.0,-2.353,3.672,-5.465,-3.316,3016.026,30.966070721000506
15.0,5.0,0.0,3.141592653589793,0.0,0.0,19.0,-2.356,3.669,-5.875,-3.014,3016.849,32.68584235400158
15.0,5.0,0.0,3.141592653589793,0.0,0.0,20.0,-2.352,3.683,-5.804,-3.066,3016.044,34.404735238000285
